UID,Identification,Standard,Time_Inject,Notes
1,S,1,16:18:50,
2,S,1,16:20:46,
3,S,1,16:24:50,
4,S,1,16:26:27,
5,T_2.5mL,0,16:31:57,
6,T_air,0,16:33:42,
